,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
68,68,722113400020693,88724371,2458641.746319273,58641.2437153,18.5118084,0.0396090336,0,zg,248.01654190000002,42.5117107,0.934000015,-0.0199999996,20190607243704,722,0xd,0x4,21.8199997,26.1372242,0.0256872308,-0.0429333113,9.07424237e-06,30,1.03999996,2
69,69,722113400020693,88830733,2458642.8099230817,58642.307338,18.5827332,0.0416156799,0,zg,248.01651459999997,42.511721,1.18900001,0.125,20190608307315,722,0xd,0x4,21.7600002,26.1826382,0.028384719,-0.0360604413,1.08745489e-05,30,1.01100004,2
70,70,722113400020693,88839178,2458642.8943659253,58642.3917824,18.5605698,0.0409753248,0,zg,248.0165404,42.5117189,0.7300000190000001,0.08399999890000001,20190608391759,722,0xd,0x4,21.8700008,26.1692581,0.0259403121,-0.0425571352,9.12507494e-06,30,1.153,2
71,71,722113400020693,88841226,2458642.9148516427,58642.4122685,18.5682907,0.0411969833,0,zg,248.01654739999998,42.511705600000006,1.25300002,0.14599999800000002,20190608412269,722,0xd,0x4,22.0200005,26.1649303,0.0246066675,-0.052167404400000006,8.334980519999999e-06,30,1.22800004,2
72,72,722113400020693,88920476,2458643.707337011,58643.20476849999,18.599460600000004,0.0421071537,0,zg,248.0165692,42.511702299999996,0.470999986,0.004000000189999999,20190609204757,722,0xd,0x4,21.110000600000006,26.1493378,0.031719353,-0.0345559716,1.41588534e-05,30,1.102,2
73,73,722113400020693,88932865,2458643.8312236047,58643.3286574,18.6477013,0.043564707,0,zg,248.01654920000001,42.5117258,0.467999995,0.00499999989,20190609328634,722,0xd,0x4,21.7999992,26.1790657,0.026556558900000003,-0.0595564097,9.61695878e-06,30,1.02999997,2
74,74,722113400020693,88934724,2458643.8498112527,58643.3472454,18.6141052,0.042543251100000005,0,zg,248.01652969999998,42.511702299999996,0.5699999929999999,0.0219999999,20190609347234,722,0xd,0x4,21.8199997,26.1752071,0.0273421817,-0.0610365085,1.0283110900000003e-05,30,1.05499995,2
75,75,722113400020693,89020697,2458644.70952859,58644.2069792,18.7050819,0.045378387,0,zg,248.0165951,42.5117125,0.860000014,0.023,20190610206968,722,0xd,0x4,20.739999800000003,26.164709100000003,0.038273491,-0.0394889414,2.32088805e-05,30,1.09000003,2
76,76,722113400020693,89022048,2458644.723035234,58644.22048609999,18.7049637,0.045374572300000006,0,zg,248.0165287,42.5117106,0.361000001,-0.030999999500000007,20190610220463,722,0xd,0x4,21.2299995,26.1526527,0.0285817813,-0.0380744115,1.1631736e-05,30,1.06299996,2
77,77,722113400020693,89022141,2458644.723961116,58644.221412,18.7024326,0.045292709,0,zg,248.0165695,42.511721200000004,0.515999973,-0.0109999999,20190610221400,722,0xd,0x4,21.170000100000006,26.1571026,0.0286751557,-0.0392948464,1.15486182e-05,30,1.06099999,1
78,78,722113400020693,89034368,2458644.846227347,58644.3436806,18.678196,0.0445175804,0,zg,248.01655970000002,42.511706,0.656000018,0.004000000189999999,20190610343669,722,0xd,0x4,21.5400009,26.179493,0.027589323,-0.0622838698,1.04025839e-05,30,1.05299997,2
